Company,Sector,Stage,Amount,Location,About,Funding Year
Zestmoney,Big Data,Series A,13400000.0,Bengaluru,Zest is Indias first completely automated consumer digital lending platform,2018
Alphaics Corporation,Cloud Computing,Seed,1300000.0,Bengaluru,Advancing AI compute,2018
Mydentistchoice,Health Care,Seed,500000.0,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018
Sattviko,Food Processing,Angel,1300000.0,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty,2018
Sensibull,Trading Platform,Seed,365000.0,Bengaluru,Investment Management Platform,2018
Bombay Shaving Company,Consumer Goods,Series A,1300000.0,New Delhi,Bombay Shaving Company is a Mens grooming startup,2018
Medcords,Wellness,Seed,385440.0,Pune,Medcords is Indias first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018
University Living,Education,Seed,1300000.0,New Delhi,University Living is an online global student housing marketplace,2018
&Me,Food And Beverage,Seed,1300000.0,Bengaluru,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness,2018
Enakshi,Fashion,Seed,116800.0,Ahmedabad,Enakshi is an online apparel brand for women,2018
Ultraviolette Automotive,Automotive,Series A,876.0,Bengaluru,Ultraviolette is a startup working on electric twowheelers and energy infrastructure,2018
Inthree Access,Consulting,Series A,4000000.0,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India,2018
Bugworks Research India,Biotechnology,Series A,9000000.0,Bengaluru,BUGWORKS is a drug discovery company,2018
Guardian.In,Health Care,Seed,1300000.0,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the worlds largest company,2018
Prestloans,Credit,Seed,100000.0,New Delhi,PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy quick n hassle free loans,2018
Wimoxez,Internet,Seed,20000.0,Hyderabad,Data Intelligence Publishing Platform We bring the best resources to learn valuable technologies which will shape tomorrow,2018
India Accelerator,Communities,Angel,1300000.0,Gurugram,India Accelerator runs mentorshipdriven incubation and acceleration programs for start ups,2018
Happyemi,Consumer,Seed,1000000.0,Bengaluru,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases instore and online,2018
