Company,Sector,Stage,Amount,Location,About,Funding Year
Learnapp,Banking,Seed and Pre-Seed Funding,292000.0,Noida,Learnappco  Video courses  live classes in investing trading banking and finance,2018
Shopkirana,E-Commerce,Seed and Pre-Seed Funding,2000000.0,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation,2018
Fric Bergen,Food,Seed and Pre-Seed Funding,1300000.0,Alwar,Fric Bergen is a leader in the specialty food industry,2018
Articbot,Artificial Intelligence,Grant,17520.0,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,2018
Buildsupply,Enterprise Resource Planning (Erp),Early Stage Funding,3650000.0,Gurugram,Indias most advanced ERP system for the real estate,2018
Fusion Microfinance,Banking,Growth Stage Funding,75920000.0,New Delhi,Fusion Microfinance Pvt Ltd is an NBFC registered with RBI,2018
Any Time Doctor,Software,Angel Funding,1300000.0,Chennai,Anytime Doctor is a Software company,2018
Go Payments,Information Services,Corporate Funding,1300000.0,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep,2018
Guiddoo World,Audio,Seed and Pre-Seed Funding,800000.0,Mumbai,We build InDestination Experiences,2018
Ion Energy,Energy,Seed and Pre-Seed Funding,1041000.0,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems,2018
Unotag,Artificial Intelligence,Seed and Pre-Seed Funding,100000.0,Bengaluru,SaaS to verify counterfeit,2018
Civilcops,Government,Seed and Pre-Seed Funding,100000.0,Gurugram,GovTech,2018
Rockmetric,Information Technology,Grant,1300000.0,Mumbai,Smarter analytics to understand how each customer uses your product Drive growth in conversion retention and engagement,2018
Classworks India,Education,Seed and Pre-Seed Funding,1460.0,Chennai,Saas Web App Mobile App School Education,2018
Snapmint,Consumer Lending,Seed and Pre-Seed Funding,1300000.0,Mumbai,Snapmint facilitates simplified fairlypriced and hasslefree EMI options without a Credit Card,2018
Artbandhu,Digital Media,Seed and Pre-Seed Funding,15000.0,Bengaluru,Ai platform for Art and Creative Community,2018
Survaider,Business Intelligence,Seed and Pre-Seed Funding,500000.0,Bengaluru,Stethoscope for customer feedback ,2018
Credy,Credit,Seed and Pre-Seed Funding,1400000.0,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns,2018
Ichamp,E-Learning,Seed and Pre-Seed Funding,5000000.0,Gurugram,iChamp is an e education innovation product from RNM EServices Pvt Ltd,2018
Qandle,Software,Seed and Pre-Seed Funding,1200000.0,Gurugram,A cloudbased HR management and employee engagement platform,2018
Avishkaar Box,Children,Seed and Pre-Seed Funding,730000.0,New Delhi,Avishkaar Box is just not another box full of material rather it is a well researched thought through solution,2018
Gegadyne Energy,Automotive,Angel Funding,1300000.0,Mumbai,A Mumbaibased startup Electric Vehicle EV  Energy Storage company,2018
Hyperxchange,E-Commerce,Early Stage Funding,1000000.0,Pune,hyperXchange is Indias fastest growing O2O marketplace for premium refurb gadgets,2018
Deftouch,Gaming,Seed and Pre-Seed Funding,1300000.0,Bengaluru,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game,2018
Doodhwala,Food Delivery,Seed and Pre-Seed Funding,2200000.0,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients requirement,2018
Dronahq,Mobile,Angel Funding,500000.0,Mumbai,DronaHQ is an enterprise mobile engagement platform,2018
Fastfox,Rental,Early Stage Funding,1460000.0,Gurugram,FastFox Market Network for Home Rentals India,2018
Buyforexonline,Travel,Seed and Pre-Seed Funding,2000000.0,Bengaluru,BuyForexOnlinecom is Indias first completely online provider for buying Foreign Exchange,2018
Colive.In,Consumer,Seed and Pre-Seed Funding,1800000.0,Bengaluru,A technology powered network of Branded Serviced Homes conveniently located near educational institutions  workplaces,2018
Agricxlab Private Limited,B2B,Seed and Pre-Seed Funding,500000.0,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018
Corefactors,Technology,Seed and Pre-Seed Funding,1300000.0,Bengaluru,Corefactors is a leading campaign management business communication and analytics company,2018
Fincash.Com,Wealth Management,Seed and Pre-Seed Funding,150000.0,Mumbai,A startup in the personal finance space in India ,2018
Pandorum Technologies,Biotechnology,Early Stage Funding,3600000.0,Bengaluru,Bengaluru based biotech startup,2018
Shirsa Labs,Education,Seed and Pre-Seed Funding,500000.0,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games,2018
Petsutra,Veterinary,Seed and Pre-Seed Funding,138700.0,Gurugram,Gurugrambased Online petcare platform,2018
Awaaz De,Internet,Angel Funding,1300000.0,Ahmedabad,AwwazDe develops inclusive mobile solutions that enable organizations to achieve lastmile connectivity for social impact,2018
Pinkblue,Health Care,Seed and Pre-Seed Funding,300000.0,Bengaluru,PinkBluein  Superefficient supplychain for clinical supplies,2018
