Company,Location,Sector,About,Amount,Stage,Funding Year
Leap Club,Gurugram,Professional Networking,Community led professional network for women,340000.0,Pre seed round,2020
Credit Mantri,Chennai,Fintech,Offers free credit score and a detailed credit analysis report,792000.0,Series A,2020
Xtracap,Gurugram,Fintech,"Offers online payment solution,schemes, order management, insurance etc.,",1000000.0,Series A,2020
Tring,Mumbai,Media,Celebrity engagement platform,3000000.0,Series A,2020
Vakilsearch,Chennai,Legal,"Online platform for legal, tax and compliance services",3000000.0,Series A,2020
Khatabook,Bengaluru,Fintech,It helps SMEs to maintain their accounts and ledger online.,60000000.0,Series B,2020
LendingKart,Ahmedabad,Fintech,Provides working capital loans and business loans to MSMEs,11363000.0,Series D,2020
Illumnus,Gurugram,Edtech,Offers Collaborative learning management system for educational institutions,100000.0,Seed Round,2020
LetsTransport,Bengaluru,Logitech,Offers techno logistics solutions,1715000.0,Series A,2020
Eggoz,Bihar,Agritech,"Provides technology backed, deep integration services to egg farmers",329000.0,Seed Round,2020
Winuall,Bengaluru,Edtech,It helps coaching institutes in digitization,3000000.0,Series A,2020
Indian School Finance Company,Hyderabad,Fintech,NBFC that provides funding to education system,5271000.0,Seed Round,2020
Juicy Chemistry,Coimbatore,Organic Skincare,It focuses on organic based skincare products,650000.0,Series A,2020
DeepTek,Pune,Healthtech,AI enabled radiology platform,3000000.0,Series A,2020
Stepathlon Lifestyle,Mumbai,Fitness,It organises corporate wellness programs,3000000.0,Series A,2020
Sindhuja Microcredit,Noida,Fintech,It provides financial services to self employed women entrepreneurs,8700000.0,Series A,2020
Rentmojo,Bengaluru,Rental,"Rental platform for furniture, appliances & electronics",3226000.0,Series A,2020
Tesco Charge Zone,Gujarat,EV,Operates electric vehicle charging zone,3000000.0,Series A,2020
Intello Labs,Gurugram,"Supply chain, Agritech",Standardisation and Quality control of fruits & vegetables,5900000.0,Series A,2020
SirionLabs,Gurugram,SaaS,"Provides procurement, outsourcing services & contract management software",44000000.0,Series C,2020
Magicpin,Gurugram,Hyperlocal Services,"It is a local discovery, rewards, and commerce platform",3879000.0,Series A,2020
GroCurv,Gurugram,B2B,"It offers a wide range of business related services like Branding, marketing, sales etc.,",3000000.0,Seed Round,2020
Refrens,Bengaluru,SaaS,"Offers a free invoicing, payments and expense management system",1000000.0,Seed Round,2020
Shiprocket,New Delhi,Logitech,Tech enabled logistics aggregator,13000000.0,Series C,2020
Spyne,Gurugram,AI,Helps online businesses with visual content,3000000.0,Pre series A,2020
Nykaa,Mumbai,Ecommerce,Deals in cosmetic and wellness products,8800000.0,Series A,2020
Docsapp,Bengaluru,Healthtech,Online doctor consultation app,9500000.0,Series A,2020
Phable,Bengaluru,Healthtech,"It creates an engagement loop between doctors, hospitals, and patients via its app",1000000.0,Pre series A,2020
Generic Aadhaar,Thane,Pharma,It provides a platform for entrepreneurs to access generic  medicine at low cost,3000000.0,Series A,2020
Nium,Mumbai,Fintech,Open global money platform,3000000.0,Series A,2020
Mintoak,Mumbai,Fintech,Merchant payment solutions startup,2000000.0,Pre series A,2020
VestSpace,Pune,Spacetech,It builds small satellite paltforms,10000000.0,Series A,2020
Blackbuck,Bengaluru,Logistics,Provides trucking services,3000000.0,Series A,2020
Vernacular ai,Bengaluru,AI,It offers Multiligual AI platform,5100000.0,Series A,2020
Clover,Bengaluru,Agritech,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,920000.0,Series A,2020
Varthana,Bengaluru,Fintech,Offers secured and unsecured loans,15000000.0,Series D,2020
Codeninja,Bengaluru,SaaS,AI-powered 'no-code' platform which can generate application development code,3000000.0,Seed Round,2020
MetaMerphoSys,Pune,Insurance technology,Digital insurance platform for businesses,3000000.0,Pre series A,2020
Rooter,New Delhi,Gaming,Live sports engagement platform,1700000.0,Pre series A,2020
Aker Foods,Pune,Foodtech & Logistics,Ai driven supply chain platform,3000000.0,Series A,2020
Sascan Meditech pvt ltd,Kerala,Healthtech,They are developing technology that can detect early cancerous cells,3000000.0,Series A,2020
DailyHunt,Bengaluru,Media,News aggregator,35600000.0,Series A,2020
Pratilipi,Bengaluru,Media,A digital platform that connects readers and writers in various languages,9400000.0,Series C,2020
Biryani By Kilo,New Delhi,Food,Online paltform to order biryani,790000.0,Series B,2020
Consure Medical,New Delhi,Healthtech,"Novel platform technologies to manage, diagnose, and treat various GI disorders",480000.0,Series A,2020
Servify,Mumbai,Technology Services,It is a technology company which serves as a platform for brands to offer end-to-end solutions to their users,250000.0,Series A,2020
Tessol,Mumbai,Logistics,It provides end to end cold chain logistics solutions,160000.0,Series A,2020
Remedo,Noida,Healthtech,"It helps doctors engage with patients, improve patient experience",3000000.0,Pre series A,2020
News Reach,Ahmedabad,Media,"It is a platform that digitalises local newspaper publishers, reporters, stringers by aggregating their content",3000000.0,Series A,2020
RoomSoom,Noida,Housing,It provides co-living and student rooms,3000000.0,Series A,2020
Pedagogy,Ahmedabad,Edtech,It has a single subscription model that allows users to access books and digital courses.,400000.0,Series A,2020
Classplus,Noida,Edtech,"It provides mobile-first software for coaching institutes, tuition centres and private tutors",8200000.0,Series B,2020
Medlife,Bengaluru,Pharmaceutical,It solves inadequacies in the healthcare delivery system through technology,15500000.0,Series A,2020
Qin1,Noida,Edtech,It is alearning platform for kids in the age group 5 to 14 yrs,3000000.0,Series A,2020
MYSUN,New Delhi,Tech,Platform for rooftop solar energy solutions,4257000.0,Pre series A,2020
ShopX,Bengaluru,Ecommerce,B2B retail operating system,1410000.0,Series A,2020
Sarva,Mumbai,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,3000000.0,Series A,2020
Expertrons,Mumbai,AI,AI video bot platform for career hacks,3000000.0,Seed Round,2020
NewsBytes,Gurugram,Digital Media,News portal,1500000.0,Series A,2020
Wagonfly,Bengaluru,Retail Technology,Contactless shopping and delivery experience by using radio frequency to tag retail items,500000.0,Series A,2020
NIRA,Bengaluru,Fintech,It offers access and credit to working Indians,2100000.0,Pre series A,2020
Convosight,Hyderabad,Data Analytics,It helps business gain insights from its community on Facebook groups,4000000.0,Pre series A,2020
Fittr,Pune,Fitness,Fitness Social Network & Consultation Platform,2000000.0,Series A,2020
AsknBid,Bengaluru,Investment Tech,It builds algorithmic investing-based tech products,3000000.0,Series A,2020
Bira91,Bengaluru,Beverage,Craft beer maker,20000000.0,Series C,2020
Finaureus Technologies,Pune,Fintech,Provides investment management solutions,3000000.0,Pre series A,2020
Daily Ninja,Haryana,Ecommerce,Online Milk Delivery startup,349800.0,Series A,2020
Guvi Geek Network Pvt Ltd,Chennai,Edtech,Operates vernacular-language based education,786000.0,Pre series A,2020
LoadShare,Bengaluru,Logistics,Provides technology based solutions to SMEs in logistics,2004000.0,Series B,2020
Vedantu,Bengaluru,Edtech,Onine learning platform,6800000.0,Series C,2020
Indusface,Bengaluru,IT,It provides IT security solutions,5000000.0,Series A,2020
DMI Group,New Delhi,Financial Services,Pan-India Credit providing platform,123000000.0,Series A,2020
Spintly,Goa,IoT,It is a wireless cloud-based access control system,248000.0,Pre series A,2020
Credr,Mumbai,Automobile,A marketplace to buy and sell used bikes and scooters,3000000.0,Series A,2020
Bijak,Gurugram,Agritech,"It is a platform that gives agricultural commodity at better prices, increased working capital, and optimised logistics",12000000.0,Series A,2020
Bugworks,Bengaluru,Biopharma,A drug discovery company that aims to discover novel treatment options for resistant bacterial infections,7500000.0,Series A,2020
DrinkPrime,Bengaluru,Water Technology,Water purifier subscription service,3000000.0,Seed Round,2020
Yap,Chennai,Fintech,Banking and payment products-focused API platform,4500000.0,Series A,2020
UzhavarBumi,Tamil Nadu,Dairy,Provides fresh dairy products,3000000.0,Series A,2020
Tattva,New Delhi,Beauty & wellness,Sells its organic and beauty products via marketplace,150000.0,Series A,2020
Pariksha,Pune,Edtech,Platform for vernacular test-preparation,3000000.0,Pre series A,2020
